bearing_x,bearing_y,bearing_z,nacelle_x,nacelle_y,nacelle_z,label
0.006205539,-0.01299274,-0.026170118,-0.038861673,0.009413647,0.023863541,1
-0.015093218,-0.017398158,-0.026105959,-0.02108387,-0.0068970174,-0.019015871,0
-0.016793719,0.015389417,0.0065586846,0.023382481,0.02720111,0.15036753,1
-0.029600114,0.014694496,0.005513641,0.00010713057,0.03045431,0.1564355,1
-0.006100119,-0.018020533,-0.025941232,-0.06496241,0.004375647,-0.0061951447,0
0.003072496,-0.013663137,-0.022064483,-0.021544509,-0.00055847474,-0.011837579,0
-0.048905376,-0.011735685,-0.021856619,-0.025226243,0.0002857997,-0.020931782,1
-0.0077116448,-0.018164208,-0.027113518,-0.0044412864,-0.009566118,-0.022389885,0
0.0004967113,-0.01311197,-0.023057653,-0.04720931,-0.0008581313,0.026891004,0
0.00041282596,-0.009710567,-0.021793673,0.01118771,-0.0110531,-0.002542629,1
-0.054060306,-0.011407261,-0.019390363,0.019884383,-0.0064916178,-0.019896016,0
-0.009254349,-0.012080229,-0.024138166,-0.029402291,-0.005164187,-0.0067969095,0
-0.012253651,-0.00470293,-0.014495222,0.045758646,-0.013994033,0.05215965,1
-0.007843563,-0.01332717,-0.023728712,-0.0092197135,-0.009312179,0.0021672568,0
-0.012942099,-0.016950848,-0.024259938,0.0036469446,-0.01252238,-0.0077467766,0
-0.0010044848,-0.011328983,-0.018255575,-0.051333085,0.013856568,0.024250945,1
-0.006476985,-0.0006255323,-0.0087181125,0.017175227,0.0038703824,0.0587744,1
-0.0021552923,-0.003505938,-0.016822377,-0.028777082,0.016744586,0.05865358,1
-0.0056006187,0.004883551,-0.0046563367,0.047642644,-0.0027570324,0.03403198,1
-0.00045818253,-0.015302439,-0.022313667,-0.042160917,-0.0013912107,0.008501083,0
-0.016869755,-0.016180366,-0.023839874,-0.049107064,0.0051827356,-0.0029935788,0
-0.028480103,0.0018798156,-0.0077530416,-0.026269078,0.020065747,0.08694899,1
-0.012055291,-0.017364057,-0.02414414,-0.024609016,-0.004539286,-0.013739961,0
-0.014280968,-0.016596442,-0.03145535,-0.016743828,-0.010950294,-0.01684491,0
-0.02484029,-0.014108407,-0.021183085,-0.05451818,0.008830402,0.0026365502,0
-0.0007942176,-0.014094483,-0.024656767,0.0073235943,-0.012726126,-0.04461113,0
-0.015868558,-0.0071673226,-0.015160448,-0.0036881038,-0.0015534762,0.010886895,1
-0.0072238594,-0.013211622,-0.022284092,-0.024719791,-0.0011486063,0.010822449,0
-0.0071373167,-0.017191052,-0.021319365,-0.013026905,-0.0020479108,-0.0069083204,0
-0.023992553,-0.005517518,-0.016268812,0.02881802,-0.010589812,0.0019316225,1
-0.01691063,-0.015826082,-0.024561673,-0.032750547,-0.0017842472,-0.025071329,0
-0.01868151,-0.009481597,-0.0196338,0.0042079384,-0.0041541294,0.014408506,0
-0.0031229362,-0.015474102,-0.025979199,0.021322178,-0.021579059,-0.027193248,0
-0.0034941863,-0.012916072,-0.019550368,-0.030638082,0.0025434496,0.0061222403,0
-0.0053901235,-0.022909034,-0.084973514,0.007859962,-0.04763751,-0.019479655,0
-0.016834542,-0.0038869216,-0.013892364,0.07271674,-0.022128252,-0.022934703,1
-0.03453288,-0.004770252,-0.014726841,0.04817058,-0.018805716,0.007742918,1
-0.013128342,-0.014550636,-0.020276904,-0.009733084,-0.007559325,-0.033232942,0
-0.0075537167,-0.0151732955,-0.024986217,-0.0050753537,-0.008766499,-0.01993624,0
-0.01682505,0.027587404,0.018268563,0.049008258,0.02541231,0.16322985,1
-0.015481423,-0.004243436,-0.014068135,0.03937584,-0.018530821,0.006385611,1
-0.009617343,-0.017372333,-0.025826396,-0.027403446,-0.0051086964,-0.021207765,0
-0.0037713612,-0.012064614,-0.025641777,0.015856015,-0.003897656,-0.015983807,0
-0.027512198,-0.016621513,-0.02486046,0.032252148,-0.02493201,-0.036170084,0
0.0018931411,-0.007069534,-0.015661038,0.018877719,-0.0076608425,0.0033789694,1
-0.004571928,-0.008061377,-0.015767992,0.014995509,-0.010448895,-0.005141891,1
-0.014321559,0.025330152,0.016311824,0.062356006,0.016962778,0.13848892,1
-0.011713069,-0.025885267,0.015206551,0.020941056,0.00046579214,-0.02598073,0
-0.013083355,0.010860349,0.0008962857,0.039239854,0.01267844,0.10791976,1
-0.009107062,0.0066089355,-0.0045759133,-0.012908932,0.01369902,0.057578076,1
-0.01610117,-0.012404552,-0.016527673,-0.022356723,-0.00161894,0.02264286,0
-0.03094029,-0.0029367458,-0.01238498,0.0031983287,0.0020199872,0.03969024,1
-0.0012708601,-0.0103554325,-0.017058881,-0.015794115,1.6705897e-05,0.004726829,1
-0.004650437,-0.014767682,-0.023694793,-0.017410057,-0.0003319212,0.0042759418,0
-0.010177992,-0.004335554,-0.013275026,-0.03992783,0.013850403,0.0625105,1
-0.009499717,-0.016460378,-0.02528836,-0.029519277,-0.0036109383,-0.014213658,0
-0.052533068,-0.008724124,-0.01808909,-0.0038169327,-0.0040361625,-0.0046306066,0
-0.034372468,-0.007497267,-0.015049191,-0.03328607,0.0042984085,-5.6916394e-07,1
-0.047313433,-0.0119261425,-0.021082168,0.00076591724,-0.007655344,-0.051609073,0
-0.02382885,-0.006132108,-0.015819894,0.001896825,0.0022236928,0.048397418,1
-0.013703004,-0.016031643,-0.026910746,0.08070059,-0.040751334,-0.032452118,0
-0.017708384,0.0015677863,-0.0077923336,-0.06415378,0.023474041,0.06748491,1
-0.013868775,-0.0053961626,-0.013476162,0.009570498,0.00032675455,0.027112309,1
-0.008052528,-0.015021667,-0.027379913,0.00084409275,-0.0047364268,-0.036063693,0
-0.0014721259,-0.010540105,-0.020289779,-0.019967185,-0.0038620385,0.020973232,0
-0.012336543,0.004028488,-0.0027333903,0.03725629,0.0054556006,0.04935658,1
0.0064449054,-0.012535476,-0.022539942,-0.03727779,0.0024038835,-0.004019,0
-0.0042915205,-0.0049573444,-0.014879201,-0.028578147,0.0077127493,-0.008394586,1
-0.0063614817,0.011381124,-0.0017063448,0.011022607,0.00941153,0.09290992,1
-0.021276793,-0.011633176,-0.02038536,-0.02462575,0.0017435607,0.013651961,0
-0.0051761987,-0.016661702,-0.026845288,-0.024037367,-0.0023840524,-0.014571055,0
-0.014390853,0.033821944,0.023351077,0.029188016,0.040310714,0.15950915,1
-0.010304391,0.021338232,0.0116030695,0.04591683,0.025237354,0.15644988,1
-0.015304292,-0.01580487,-0.02438197,-0.025514241,-0.006060762,-0.012406213,0
-0.007341018,-0.006623515,-0.015198803,-0.021154879,0.004408656,0.042258233,1
-0.0026900466,-0.017641883,-0.027047494,-0.08656631,0.021945957,0.0017424542,0
-0.004868079,-0.012935302,-0.024117427,-0.028554594,-0.0021547198,-0.016542636,0
-0.015716515,-0.012942565,-0.02264285,0.0112891095,-0.00085181504,-0.038367767,0
-0.005093581,-0.012293619,-0.020379825,-0.044772454,0.009743218,0.0044129193,1
-0.0017500763,-0.0013106026,-0.010304702,0.0010456314,0.0090968665,0.06443522,1
-0.013547299,-0.010719587,-0.016837884,-0.031047333,0.00077429233,0.038993835,0
-0.010999027,-0.0071589933,-0.013279884,0.046566393,-0.012447016,0.044043362,1
-0.015451189,0.033375278,0.022385214,0.0048588347,0.03949238,0.15858373,1
-0.0012353697,-0.013478848,-0.020765021,-0.021450264,-0.001361434,0.0027205588,0
-0.0029865275,-0.008355937,-0.01907168,-0.031083932,0.010284767,0.022009712,1
-0.011998496,-0.017102223,-0.024675611,-0.013307082,-0.008172865,-0.014700095,0
-0.0086651575,0.00026123849,-0.008796686,0.03612568,0.0023929037,0.023020301,1
-0.0023932105,-0.01626982,-0.024225013,0.033991214,-0.023332672,-0.023510376,0
-0.0312859,-0.002804278,-0.011682757,0.013443989,-0.0094712805,0.0039067264,1
-0.028523305,-0.008137698,-0.01601005,0.043268755,-0.015875155,-0.010346737,1
-0.0035783174,-0.008281888,-0.015829306,-0.031583887,0.012216973,0.026922187,1
-0.010023759,-0.017185263,-0.02750621,-0.025340226,-0.0027558042,-0.006493448,0
-0.03641132,-0.010273981,-0.014118512,-0.04364302,0.0050226287,0.024966884,0
-0.0131055,-0.01535097,-0.022345463,-0.030300666,-8.849051e-06,0.017471699,0
-0.006503231,-0.012018079,-0.021991663,0.0057321335,-0.009470333,-0.0066601727,0
-0.0151283555,-0.01731961,-0.0263495,-0.024559945,-0.0008095047,-0.014418536,0
-0.0039000106,-0.017615393,-0.026660923,-0.026463564,-0.0035052702,-0.015829485,0
0.00039368952,-0.015253749,-0.025957314,0.0011470035,-0.008044415,-0.036898628,0
-0.014128703,0.010779534,0.0009975928,0.044451784,0.010343408,0.10435877,1
-0.010761874,0.005017067,-0.0040736217,0.0005788774,0.030277507,0.12582123,1
-0.013600462,0.042752434,0.033565424,0.06413638,0.04350099,0.16681959,1
-0.015694752,-0.0029373,-0.013742902,0.020747414,-0.0064121266,-0.0032597987,1
-0.02170279,-0.012018298,-0.022045255,-0.005878156,-0.005099073,-0.01924561,0
-0.0011213066,-0.0101403,-0.01601787,0.005768542,-0.010451931,0.020162575,0
-0.022435032,-0.0126607185,-0.0217667,-0.024739353,-0.002425916,0.0003261107,0
-0.012435927,-0.015795454,-0.02555168,-0.010023327,-0.008705486,-0.016427526,0
-0.011997006,-0.0028028258,-0.016363652,0.022334974,-0.0036956836,0.047705285,1
-0.012339052,0.021462226,0.011028022,0.064270064,0.012756303,0.12577648,1
-0.003799199,0.0037189042,-0.006202282,0.031295005,0.0011068701,0.06970945,1
-0.043574117,0.0147128785,0.0068638697,0.00673247,0.022606242,0.09430954,1
-0.00017098513,-0.00893913,-0.014754979,-0.101908796,0.02996052,0.04792485,1
-0.02504092,-0.017253518,-0.025277337,-0.018389663,-0.0047882358,-0.020639775,0
-0.010640159,-0.011486059,-0.022738677,0.019107923,-0.010901393,-0.028870726,0
-0.0033644352,-0.016025018,-0.02484607,-0.0067536216,-0.0031821881,-0.023500612,0
-0.04074388,-0.009905308,-0.017335538,-0.036257662,0.008759428,0.010824164,1
-0.01347351,-0.016169535,-0.025696173,-0.0010846634,-0.013070095,-0.01840229,0
-0.017562259,-0.016598787,-0.022541845,-0.0066903373,-0.009853288,-0.018354625,0
-0.013144783,-0.017244374,-0.02558791,-0.010961969,-0.008319166,-0.018616417,0
-0.01241943,-0.017132228,-0.023433542,-0.033047434,-0.0021635913,-0.001652857,0
-0.0130446255,-0.015807545,-0.025013609,-0.02017292,-0.006093666,-0.022139499,0
-0.012179793,0.0109857125,8.444035e-05,0.0045304727,0.02181915,0.12838416,1
-0.02504251,-0.015860427,-0.024420006,-0.0623117,0.0056411712,0.04320161,0
-0.0065951105,-0.0057303286,-0.015984837,0.043435644,-0.019265648,0.0037662468,1
-0.009562456,-0.008040093,-0.018012287,0.026523376,-0.012508894,-0.013852567,1
-0.0056194994,0.003585594,-0.007428883,0.0693273,-0.007283613,0.05499949,1
-0.063877,-0.009872383,-0.017141085,-0.02175795,-0.0036727327,-0.013003366,0
-0.00076214294,-0.013547477,-0.021333057,-0.008007032,-0.004566707,-0.026768975,0
-0.011744474,-0.0151494155,-0.021161467,-0.050370228,0.0016640986,-0.0016259647,0
0.003016696,-0.007723524,-0.019040914,0.010461965,-0.00026845862,0.029175531,1
-0.010622407,-0.0015487238,-0.014316308,0.029592568,-0.00642827,0.05027069,1
-0.016858714,0.027269686,0.018684346,0.001218646,0.04348714,0.19214776,1
0.0004237699,-0.008023458,-0.018343689,0.00657991,-0.0066279606,-0.016121395,1
-0.002272397,0.004778489,-0.0059642973,0.07671554,-0.011073359,0.06180954,1
-0.011833134,-0.012793272,-0.022936607,0.023893883,-0.013594956,-0.0430131,0
